positive,              omg its already 7:30 :O
positive, @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. 
positive,   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....
positive,  Just another day in paradise. ;)
positive, baseball.
positive," @CranberryPerson Dear hyper chihuahua, we only have 45 minutes left together on this drive, but I have a .. http://tr.im/lAj6"
positive, @joeschmitt Twitter maintenance on a Friday night? They really haven't been listening if they think we wo.. http://tr.im/nDkq
positive,"- @paul_a_smith - ooh, but Clean Sheet Day is awesome!! Woo!  hope you're feeling better now?"
positive, and I dunno why but with you I'd dance in a storm in my best dress.
positive, Awesome. &lt;3 TEDDY! &lt;3
positive, Charging phone
positive, Feels like a giggly school girl!
positive, im almost done with this portrait. woo. hmm.. maybe i should draw andrew bisante with my new pastels !!
positive, Good Night Twitter! I'm tired! Partying ALL WEEKEND! Peace â™¥ and ALWAYS BE HAPPY!
positive,- Have a GREAT Sunday... be blessed and encouraged!! I'm going to PASS OUT now. haha Earlier than usual... yay!  GOD BLESS YOU!!!
positive," I bet you were with him! @PITX08 oh, follow @fxxxmylife "
positive, last tweet for the night! VOTE for @GoodeMovement here: http://tinyurl.com/lv6969 and with that same determination... #squarespace !!
positive, I like it when things work like they should. I was expecting this upgrade to break something bigtime.
positive, notsugripp http://www.kivisaar.com/itblog/04/2009/898/notsugripp.html via @addthis
positive,- revised biochemistry a bit - now taking a break - I've deserved it!  Letting go a bit XD
positive, init woo lol wait can you see the videos on the side?
positive," just got back from church with pam,"
positive, Twitter for Google Desktop. So I don't have to tweet in a window. 
positive, yey to night IÂ´ll see Wolverine with a friend *dancing*
positive," Off work, praying I get excepted in the LU distance learning program! And hopefully I can get done SOON! I'll keep you updated!"
positive,--- Playing basketball and throwing a disc around at the park.  Life is awesome ... 
positive,#bgt I like Julian smith as well his music is so soulfull 
positive, smile GOD loves you 
positive,#dreamwidth invites are all gone for now! I'll offer up some more on here when I get them 
positive,"- watching The Hills season finale (Lauren's last episode ; *tear tear*), then watching the MTV Movie Awards afterwards! "
positive,!*Squeaky Out Goin To Bed Talk To Ya'll Tomorrow Night  *!
positive,#android metaldetector says my laptop has metal...and the laundry has not...accurate enough 
positive,#FollowFriday @AmericanWomannn @MissBeckala @GinaATL @LoriMoreno - These ladies make me smile 
positive,"#followfriday @mamakelly , @newrose , @arholtz , @BritNastyB , @mjbadass don't miss out on these all worth a follow "
positive,#followfriday my bff from high school and email therapist @stefmcguire 
positive,"#ASOT400 Buenos Aires @Argentina, under A state of trance celebration armin. ! "
positive,#Good or #Evil? Can't wait to do both  http://bit.ly/GX05c
positive,#bahrain what's up!! 
positive,"#hdc god i forgot how gorgepus this record is, The Boy with the Arab Strap  great music, food, hack, happy.. http://tinyurl.com/lt2cxk"
positive, r&amp;r watching my girl
positive,#dontfollowsunday @mileycyrus @ddlovato and any other disney children 
positive,#F1 Very impressive by Heikki and Rubens 
positive,#FF sweet spirits  @bersheba thank you so much for all the mentions - much appreciated!! #FollowFriday
positive,#Microsoft #BING... But It's Not Google.  lol!!! its amazing
positive,"#musicmonday  Hmmm...   I Didn't Say I Was Powerful, I Said I Was A Wizard ; Chiodos.  WIN. &lt;3 (And oh wait, seeing them AGAIN. "
positive,#musicmonday elevate -&gt; new single &quot;time will fly&quot;  www.elevate-music.com or www.myspace.com/elevateweb
positive,"#followfriday @PurpleMuffinMan coz he's the man, and I love him apparently!!! @fjkinnit because he's lovely and sweet "
positive,#mw2 plz click on my user name n check out my sugestion 4 modernwarfare2. thumbs up if u like it thnk u 
positive,"#myweakness Educated dudes, intelligent conversation is soooo sexy! "
positive,"#goodsex in the gym showers ,sweat drippin' all over your bodies "
positive,#haveyouever been so mad without a reason? YAP! 
positive,#hello Shaq 
positive,#squarespace welcome to tuesday 
positive,#unfollowdiddy is takin over!...lol 
positive,"#wiebe so close!  why does he only get one shot?!  oh well, ur still my hero wiebe "
positive,#LT Check out my Interview on South Beach Bride Mag/Summer Edition due out this week 
positive,#musicmonday &quot;Come Back to Me&quot; by David Cook 
positive,#musicmonday wetter -twista  r0fl
positive,&amp; to those nice people following my progress: i'll write to you soon. so tired right now.  but happily so. miss you all.
positive,"#Nvr3 - 55 adds so far. http://tinyurl.com/kn2gtz - 45 to go and most of a month to do it in, let's go! "
positive,#spotify: one of the biggest joys of being european 
positive,#tnb #howarewe 9/10 On my first stella of the day. Feeling grand! 
positive,#unfollowdiddy FOLLOW ME!!!!  No really you should lol
positive,#WHATDAFUXUP JUST HAD TO BE THE FIRST TO USE THIS  #COBRIS
positive,#xboxe3 follow me fellow xbox fans. 
positive,"&amp; im in major need of new cookware, dinnerware.. basically im a sucky housewife in the making "
positive,&quot;costar&quot; is da best song day 26 evr sang 
positive, whoo!!!! 3 more days for me..
positive,!hailer nonworking cmd has been post in crew.. all that cmd did not give any respond.. 
positive,"#3turnoffwords ? I know. Ready? Why, Oh, You "
positive,&quot;Got Love to Kill&quot; - Juliette &amp; the Licks. Julian Wilson's section in Stranger than Fiction.... so amazing...   
positive,"&quot;ah, brandon! You're so annoying. I'm going to paint your eyeballs a dark color so you'll be blind! &quot;, christopher. Them's fightin words. "
positive,"&quot;Be strong, all of you who put your hope in the Lord. Never give up.&quot; --- Psalm 31:24   "
positive,#bgt flawless were good. i want to see what diversity can come up with 
positive,#chesterday let's spread chester-love  #chesterday yeaaaah
positive,"&quot;I think that we learn to love, and learn what life is all about through service to others.&quot; - Isaac Hanson. Exactly why I love this band "
positive,"&quot;chuck, i know you live and i think you get it poppin'.&quot; "
positive,"#FF @qianam  Follow Qiana because she likes sports, is gorgeous and said she is going to tweet me up in person when she gets to LA "
positive,&quot;Drag Me To Helk&quot; Soundss Greaat. 
positive,"&quot;Expand to 64 bits, compatible with IPv4 (0.0.0.0.A.B.C.D), call it IPv5 and to hell with the whole IPv6 business&quot;: http://bit.ly/3aRjP  "
positive,&quot;Give the guy a gun and he's Superman. Give him two and he's God&quot; Gotta love vintage Woo 
positive,#followfriday @GinWNY really sweet 
positive,"&quot;He's a beaner, he's obviously not the fucking tweeb&quot; lmao dorass "
positive,#followfriday I didn't do this yet today but I'll give you one for now. follow @lamperoo. Since we're related you have to know he's cool 
negative,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
negative,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me
negative," . . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little."
negative,"   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt "
negative,"  - Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep."
negative, @xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?
negative," Alistair's friends are all in the kitchen and I'm in my pjs...I JUST WANT A CUP OF TEA, DAMMIT!"
negative,  nothing....
negative, bad day 2day. Broken glasses  rainy weather  uof
negative, :'( this is so horrible
negative, @Mizz_Bliz I slept late too. I wonder y u did...Mhmm. I'm not as hype as u think to leave the country for 2 weeks &amp; 3 days.
negative," devstateddd, my silly iphone deleted all my jailbreak stuff  thats 25 apps !"
negative, everyones drunk but me
negative, frank iero should be the sexiest vegetarian 2009.
negative, h dont know who to go to teh movies with Sir. Lolz alot ^o^
negative," Alexa isn't feeling well. Daddy went and picked her up from Gram's house, and I'm heading out to take her to the doctors. Poor baby."
negative, Athens landmark Georgia Theater  on fire... http://bit.ly/EOL7s
negative," i didn't get to cook, instead had dogs... it was ok, i guess. kinda tired but not sleepy :-s btw i so &lt;3 my new book lol"
negative,0
negative, I forgot to bring my new Allegra D 12 hour to work today... so Singulair and I are flying solo today! 
negative, caffine headache now lol follow @peterfacinelli @gilbirmingham @billy_burke
negative, i have the cold 
negative, company is offering 2nd round of VSS RIF!
negative, i lost my book while i was sleeping. who does that?!
negative, everyone from home is going to the beach today &amp; I'm stuck in philly
negative, i see how it is
negative, everyones just set to &quot;Away&quot; on msn.. nobody to talk to :\
negative," I wish I lived far far away, in a fairytale land.... With lots of happiness and love... Ahhhh to daydream"
negative,' GERD is acting up.  fml.
negative, goodbye steph. at home watching Mall Cop with my bby brother &lt;3
negative, in n out closed the door in my face... but its ok... sum chick offered to buy my food... YAY FREE IN N OUT
negative, hate going to the doctors. also hate having to go back an hour later to get prescription.
negative, Jay Leno's last show
negative,0
negative, i cant believe you....
negative, i cant upload my pic...
negative, i feel really alone
negative, i hate this family. Save me!
negative, i hate work
negative, I keep posting songs here and no one ever listens (I can tell ;) ) - jeez it's tough being an unsuccessful songwriter!
negative, i kinda wanna go back out. womp womp
negative, my shoot for popstar is cancelled  SHOOT! now what!?!?! ohh ik i get to see @mitchelmusso tonight at his concert tonight at 7! wooo(:
negative, i need some friends
negative, no more arrested development. i am sad.
negative, i wish @ruebluestar192 was online right now so I could talk to him before I have to leave.. *hint hint*
negative,0
negative, i'm bored ! w/e everything is gonna b fun later in da day ! bye bye world till later
negative, i wish u guys would stop fighting
negative, im sorry I thought u name was sadie shame on me
negative,- In bed watchin 'BTVS' wiv an achey head 
negative, someone told me latin females dont have a sense of humor.
negative, sounds like dancing is fun! I wanted to go. People are mean for not inviting!
negative, i'm sooo hungry . . . i'm ready to be stuffed!
negative, telly has stopped working again  dammm thats sucky #fb
negative, it's so ugly when non-contextual
negative, just found out that sam gullens died on sataday everyones dying rip sam god bless lewis only 20
negative, today is startin off shakey. jus found out a friend of mine mother is in icu. damn yo. I'm cryin like its my mom and I never met her.
negative, twitter made peter lose  oh well.. he still rocks 
negative," my 12 year old is taking care of the injured black cat in front of our house, waiting for animal control.  Too bad my wife is allergic"
negative, my ears hurt
negative," Will have to wait to next week to meet C and N because of trip to Tokyo, darnit. Can't wait to meet them. Congratulations, Heidi babes!"
negative, my stomach hurts!!!
negative,"#&amp;iranelection I am a Muslim Turk living in St. Louis, MO and I will pray for the victims. "
negative, On duty...
negative, PrinceCharming
negative, RR had to win this.. #ipl
negative,#cavs  .... Enough said...
negative, sometimes I 2nd guess my decisions... Like now.
negative,#dontyouhate when drunk ppl r telling u a story that goes nowhere...ur not a storyteller and I can't deal wit u right now! 
negative,#dontyouhate when your hungry but u dnt know what u want 2 eat 
negative, today aint my day. I just got really bad news
negative," we are out, I was telling you #PakistanWillWin #PakCricket omg"
negative, why me?
negative,"!@#$ing crap. CakePHP is really useful/nifty/spiffy, but it's got problems when it comes to filtering by related items. You just can't. "
negative,"#finaltweet Guys, I have to tell you this before I die. It was @CeciliaBFoxy; I can hear her breaking down the door, even now. Goodbye. "
negative, looking poor for #twenty20 rain means delays at mo feel bad for my daughter so unfair. please mother nature part those clouds!
negative, my cousins are leaving on thursday
negative," My stomach is actually killing me so much. Renee, paracetamol and everything else isn't working!"
negative,#haveyouever been unable to do something even though it HAS to be done yesterday. 
negative,#bgt  Two Grand... is awful   go away please.
negative,#brazilwillmissmcfly #brazilwillmissmcfly #brazilwillmissmcfly #brazilwillmissmcfly #brazilwillmissmcfly #brazilwillmissmcfly 
negative, pff... ill give it a try at war... but i will just get my ass kicked. lol.GL logging in :S
negative,"#inaperfectworld I would be in line for an iPhone 3GS, too  #squarespace"
negative,#inaperfectworld muh bunny wabbit wouldn't have been eaten by another animal 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
